conic_curve_mm,x_cord,y_cord,angle,temp,Vin,Vout,Cin,Cout,S21_param,inductance,efficiency,L_tx_uH,L_tx_eff_uH,L_rx_eff_uH,C_parasitic_pF,f_srf_MHz,R_skin_ohm,R_total_ohm,proximity_factor,Q_tx,Q_rx,M_nH,k,kQ,k_critical,S11_dB,S22_dB,S12_dB,P_in_W,P_out_W,f_split_low_MHz,f_split_high_MHz,split_gap_kHz,coupling_regime,d_lateral_mm,alignment,group,Vout_measured,Iout_measured,efficiency_measured,notes
0,85,0,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,85.0,x-axis,control,,,,
0,90,0,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,90.0,x-axis,control,,,,
0,95,0,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,95.0,x-axis,control,,,,
0,100,0,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,100.0,x-axis,control,,,,
0,0,5,0,75.0,12.0,0.547085,86.999,86.999,-15.318,6.33383,0.73476,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,624.255,0.09855878,11.57981,0.00851126,-0.798,-0.798,-15.318,2.88,0.02116099,6.4687,7.141,672.32,overcoupled,5.0,y-axis,control,,,,
0,0,10,0,75.0,12.0,0.546812,86.999,86.999,-15.039,6.33383,0.78346,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,604.2402,0.0953988,11.20854,0.00851126,-0.798,-0.798,-15.039,2.88,0.02256357,6.478,7.1285,650.51,overcoupled,10.0,y-axis,control,,,,
0,0,15,0,75.0,12.0,0.546293,86.999,86.999,-14.554,6.33383,0.87603,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,570.8822,0.09013216,10.58976,0.00851126,-0.798,-0.798,-14.554,2.88,0.02522955,6.4937,7.1079,614.22,overcoupled,15.0,y-axis,control,,,,
0,0,20,0,75.0,12.0,0.545396,86.999,86.999,-13.827,6.33383,1.03567,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,524.18099,0.08275887,9.72346,0.00851126,-0.798,-0.798,-13.827,2.88,0.02982719,6.5157,7.0793,563.52,overcoupled,20.0,y-axis,control,,,,
0,0,25,0,75.0,12.0,0.543828,86.999,86.999,-12.795,6.33383,1.31338,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,464.13659,0.07327893,8.60965,0.00851126,-0.798,-0.798,-12.795,2.88,0.03782531,6.5445,7.043,498.51,overcoupled,25.0,y-axis,control,,,,
0,0,30,0,75.0,12.0,0.54087,86.999,86.999,-11.348,6.33383,1.83294,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,390.74899,0.06169233,7.24832,0.00851126,-0.798,-0.798,-11.348,2.88,0.05278866,6.5801,6.9993,419.27,overcoupled,30.0,y-axis,control,,,,
0,0,35,0,75.0,12.0,0.534363,86.999,86.999,-9.273,6.33383,2.9555,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,304.01819,0.04799907,5.63948,0.00851126,-0.798,-0.798,-9.273,2.88,0.08511852,6.6229,6.9488,325.9,overcoupled,35.0,y-axis,control,,,,
0,0,40,0,75.0,12.0,0.515169,86.999,86.999,-6.123,6.33383,6.10429,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,203.94419,0.03219917,3.78313,0.00851126,-0.798,-0.798,-6.123,2.88,0.17580364,6.6734,6.8919,218.45,overcoupled,40.0,y-axis,control,,,,
0,0,45,0,75.0,12.0,0.424278,86.999,86.999,-1.494,6.33383,17.72167,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,98.5773,0.0155636,1.82859,0.00851126,-0.798,-0.798,-1.494,2.88,0.51038418,6.7278,6.8334,105.54,overcoupled,45.0,y-axis,control,,,,
0,0,50,0,75.0,12.0,0.093325,86.999,86.999,-2.498,6.33383,14.06528,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,24.33899,0.00384269,0.45148,0.00851126,-0.798,-0.798,-2.498,2.88,0.40507999,6.78,6.78,0.0,undercoupled,50.0,y-axis,control,,,,
0,0,55,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,55.0,y-axis,control,,,,
0,0,60,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,60.0,y-axis,control,,,,
0,0,65,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,65.0,y-axis,control,,,,
0,0,70,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,70.0,y-axis,control,,,,
0,0,75,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,75.0,y-axis,control,,,,
